metascore,name,console,userscore,date
91,Dark Souls II,X360,7.9,"Mar 11, 2014"
91,Bayonetta 2,WIIU,9,"Sep 20, 2014"
91,Kentucky Route Zero - Act III,PC,6.6,"May 6, 2014"
91,Dark Souls II,PC,7.2,"Apr 24, 2014"
91,Dark Souls II,PS3,8.1,"Mar 11, 2014"
90,Diablo III: Ultimate Evil Edition,PS4,8,"Aug 19, 2014"
90,Rayman Legends,PS4,8.5,"Feb 18, 2014"
86,XCOM: Enemy Within,PC,8,"Nov 11, 2013"
86,Luigi's Mansion: Dark Moon,3DS,8.5,"Mar 24, 2013"
86,Path of Exile,PC,8,"Jan 25, 2013"
85,Ni no Kuni: Wrath of the White Witch,PS3,8.7,"Jan 22, 2013"
85,The Wolf Among Us: Episode 1 - Faith,PS3,8.8,"Oct 15, 2013"
85,Battlefield 4,PS4,7,"Nov 12, 2013"
85,NBA 2K14,PS4,6.5,"Nov 12, 2013"
85,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC,8.1,"Feb 26, 2013"
90,Velocity 2X,VITA,7.2,"Sep 2, 2014"
90,Fez,PS4,6.3,"Mar 25, 2014"
90,Shovel Knight,3DS,8.3,"Jun 26, 2014"
90,Guacamelee! Super Turbo Championship Edition,WIIU,7.6,"Jul 2, 2014"
89,Out of the Park Baseball 15,PC,7.1,"Apr 21, 2014"
89,Dragon Age: Inquisition,PS4,7.4,"Nov 18, 2014"
89,Minecraft: PlayStation 4 Edition,PS4,6.4,"Sep 3, 2014"
88,Mario Kart 8,WIIU,8.9,"May 30, 2014"
88,The Binding of Isaac: Rebirth,PS4,7.8,"Nov 4, 2014"
88,The Last of Us: Left Behind,PS3,8.2,"Feb 14, 2014"
85,Hotline Miami,VITA,8.4,"Jun 25, 2013"
85,Dust: An Elysian Tail,PC,8.5,"May 24, 2013"
85,DmC: Devil May Cry,PC,6.8,"Jan 24, 2013"
85,The Wolf Among Us: Episode 1 - Faith,PC,8.9,"Oct 11, 2013"
85,Rogue Legacy,PC,7.9,"Jun 27, 2013"
85,BattleBlock Theater,X360,7.9,"Apr 3, 2013"
85,Brothers: A Tale of Two Sons,PS3,8.6,"Sep 3, 2013"
85,Football Manager 2014,PC,5.6,"Oct 30, 2013"
85,Sid Meier's Civilization V: Brave New World,PC,8.6,"Jul 8, 2013"
85,Trials Evolution: Gold Edition,PC,6.8,"Mar 21, 2013"
88,Shovel Knight,WIIU,8.4,"Jun 26, 2014"
88,Minecraft: Xbox One Edition,XONE,6.7,"Nov 18, 2014"
88,Guacamelee! Super Turbo Championship Edition,XONE,7,"Jul 2, 2014"
88,Hearthstone: Heroes of Warcraft,PC,6.1,"Mar 11, 2014"
87,Guacamelee! Super Turbo Championship Edition,PS4,7.7,"Jul 1, 2014"
87,Middle-earth: Shadow of Mordor,XONE,8,"Sep 30, 2014"
87,Steins Gate,PC,8.8,"Mar 31, 2014"
87,The Walking Dead: Season Two Episode 5 - No Going Back,PS3,8.1,"Aug 26, 2014"
87,Year Walk,PC,7,"Mar 6, 2014"
85,Terraria,VITA,8,"Dec 17, 2013"
85,DmC: Devil May Cry,PS3,5.4,"Jan 15, 2013"
85,"Papers, Please",PC,8.5,"Aug 8, 2013"
84,Mass Effect 3: Citadel,X360,8.2,"Mar 5, 2013"
84,Guacamelee!,PS3,7.7,"Apr 9, 2013"
84,NBA 2K14,PS3,5,"Oct 1, 2013"
84,Mass Effect 3: Citadel,PC,7.9,"Mar 5, 2013"
84,Assassin's Creed IV: Black Flag,PC,7.7,"Nov 19, 2013"
84,Lone Survivor: The Director's Cut,PS3,7.8,"Sep 24, 2013"
87,Mario Kart 8 DLC Pack 1,WIIU,9,"Nov 13, 2014"
87,TowerFall Ascension,PC,6.7,"Mar 11, 2014"
87,TowerFall Ascension,PS4,7,"Mar 11, 2014"
87,Diablo III: Reaper of Souls,PC,6.6,"Mar 25, 2014"
87,Divinity: Original Sin,PC,8.7,"Jan 17, 2014"
87,Dark Souls II: Crown of the Ivory King,PS3,8.3,"Sep 30, 2014"
87,World of Warcraft: Warlords of Draenor,PC,5.9,"Nov 13, 2014"
86,Astebreed,PC,7.3,"May 30, 2014"
86,Velocity 2X,PS4,6.9,"Sep 2, 2014"
86,Final Fantasy X / X-2 HD Remaster,VITA,8.9,"Mar 18, 2014"
86,Titanfall,XONE,6.7,"Mar 11, 2014"
84,Etrian Odyssey IV: Legends of the Titan,3DS,8.3,"Feb 26, 2013"
84,Resogun,PS4,7.8,"Nov 15, 2013"
84,Mutant Mudds Deluxe,WIIU,7.3,"Jun 13, 2013"
84,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,WIIU,8.1,"Feb 26, 2013"
84,FIFA 14,X360,4.2,"Sep 24, 2013"
84,PixelJunk Monsters: Ultimate HD,VITA,7.6,"Jul 30, 2013"
84,Tom Clancy's Splinter Cell: Blacklist,PS3,7.7,"Aug 20, 2013"
86,The Binding of Isaac: Rebirth,PC,8.4,"Nov 4, 2014"
86,Titanfall,PC,6.2,"Mar 11, 2014"
86,Diablo III: Ultimate Evil Edition,XONE,7.8,"Aug 19, 2014"
86,Tomb Raider: Definitive Edition,XONE,7.7,"Jan 28, 2014"
86,Forza Horizon 2,XONE,8.3,"Sep 30, 2014"
86,Bayonetta,WIIU,8.8,"Oct 24, 2014"
86,Final Fantasy XIV Online: A Realm Reborn,PS4,7.2,"Apr 14, 2014"
86,Resogun: Heroes,PS4,7.3,"Jun 24, 2014"
85,The Talos Principle,PC,8.5,"Dec 11, 2014"
85,Legend of Grimrock II,PC,8.1,"Oct 15, 2014"
85,Dragon Age: Inquisition,PC,5.9,"Nov 18, 2014"
85,Bravely Default,3DS,8.4,"Feb 7, 2014"
85,Rogue Legacy,VITA,7.8,"Jul 29, 2014"
85,South Park: The Stick of Truth,PC,8.6,"Mar 4, 2014"
85,Dragon Age: Inquisition,XONE,7,"Nov 18, 2014"
85,Super Smash Bros. for Nintendo 3DS,3DS,8.6,"Oct 3, 2014"
85,Shovel Knight,PC,8,"Jun 26, 2014"
85,Final Fantasy X / X-2 HD Remaster,PS3,8.7,"Mar 18, 2014"
85,Assetto Corsa,PC,8.4,"Dec 19, 2014"
85,Valkyria Chronicles,PC,8.2,"Nov 11, 2014"
85,BattleBlock Theater,PC,7.9,"May 15, 2014"
85,Halo: The Master Chief Collection,XONE,7.4,"Nov 11, 2014"
85,Persona 4 Arena Ultimax,X360,4.8,"Sep 30, 2014"
85,Super Mega Baseball,PS4,7.3,"Dec 16, 2014"
85,South Park: The Stick of Truth,PS3,8.5,"Mar 4, 2014"
85,The Wolf Among Us: Episode 5 - Cry Wolf,X360,8.3,"Jul 9, 2014"
85,Rogue Legacy,PS4,7.7,"Jul 29, 2014"
85,Geometry Wars 3: Dimensions,PS4,7.5,"Nov 25, 2014"
85,Far Cry 4,PS4,7.7,"Nov 18, 2014"
85,Shantae and the Pirate's Curse,WIIU,8.7,"Dec 25, 2014"
85,Tomb Raider: Definitive Edition,PS4,8.1,"Jan 28, 2014"
84,Persona 4 Arena Ultimax,PS3,5.6,"Sep 30, 2014"
84,Middle-earth: Shadow of Mordor,PC,7.9,"Sep 30, 2014"
84,Middle-earth: Shadow of Mordor,PS4,8.1,"Sep 30, 2014"
84,Guilty Gear Xrd -SIGN-,PS4,8,"Dec 16, 2014"
84,TxK,VITA,7.2,"Feb 11, 2014"
84,Hearthstone: Goblins Vs. Gnomes,PC,6.2,"Dec 8, 2014"
84,Tales From The Borderlands: Episode 1 - Zer0 Sum,PC,8.4,"Nov 25, 2014"
84,ZEN Pinball 2: South Park: Super-Sweet Pinball,PS4,6,"Oct 14, 2014"
84,Metro Redux,PC,8,"Aug 26, 2014"
84,Frozen Synapse Prime,VITA,7.2,"Sep 23, 2014"
84,Europa Universalis IV: Wealth of Nations,PC,8.5,"May 29, 2014"
84,BioShock Infinite: Burial at Sea - Episode Two,X360,8.5,"Mar 25, 2014"
84,Child of Light,WIIU,8.5,"Apr 29, 2014"
84,Metro Redux,XONE,8.2,"Aug 26, 2014"
84,Oddworld: Abe's Oddysee - New 'n' Tasty,PS4,7.8,"Jul 22, 2014"
84,Minecraft: PlayStation Vita Edition,VITA,7.6,"Oct 14, 2014"
84,Ultra Street Fighter IV,X360,6.9,"Jun 3, 2014"
84,The Walking Dead: Season Two Episode 5 - No Going Back,X360,8.8,"Aug 27, 2014"
84,The Wolf Among Us: Episode 5 - Cry Wolf,PC,8.8,"Jul 8, 2014"
84,Ultimate General: Gettysburg,PC,7.7,"Oct 16, 2014"
83,BlazBlue: Chrono Phantasma,PS3,8.3,"Mar 25, 2014"
83,SMITE,PC,8.2,"Mar 25, 2014"
83,Ultra Street Fighter IV,PS3,7.5,"Jun 3, 2014"
83,Persona Q: Shadow of the Labyrinth,3DS,6.5,"Nov 25, 2014"
83,Dark Souls II: Crown of the Old Iron King,PS3,8.1,"Aug 26, 2014"
83,The Blackwell Epiphany,PC,7.7,"Apr 24, 2014"
83,Retro City Rampage DX,3DS,7.5,"Feb 6, 2014"
83,Transistor,PS4,8.2,"May 20, 2014"
98,Red Dead Redemption 2,XONE,5.9,"Oct 26, 2018"
97,Red Dead Redemption 2,PS4,7.7,"Oct 26, 2018"
94,God of War,PS4,9.2,"Apr 20, 2018"
94,Celeste,XONE,6.4,"Jan 26, 2018"
93,Undertale,Switch,8.1,"Sep 18, 2018"
93,Divinity: Original Sin II - Definitive Edition,XONE,7.5,"Aug 31, 2018"
92,Forza Horizon 4,XONE,7.7,"Sep 28, 2018"
92,Celeste,Switch,8.3,"Jan 25, 2018"
92,Divinity: Original Sin II - Definitive Edition,PS4,7.9,"Aug 31, 2018"
92,Bayonetta 2,Switch,8.4,"Feb 16, 2018"
91,INSIDE,Switch,8.2,"Jun 28, 2018"
91,Sonic Mania Plus,Switch,8.8,"Jul 17, 2018"
91,Dead Cells,XONE,8,"Aug 7, 2018"
91,Shadow of the Colossus,PS4,8.5,"Feb 6, 2018"
91,Return of the Obra Dinn,PC,8.6,"Oct 18, 2018"
91,Celeste,PS4,6.5,"Jan 25, 2018"
90,Into the Breach,Switch,7.5,"Aug 28, 2018"
90,NieR: Automata - Become as Gods Edition,XONE,9,"Jun 26, 2018"
90,Monster Hunter: World,XONE,7.2,"Jan 26, 2018"
90,Hollow Knight,Switch,8.8,"Jun 12, 2018"
90,Monster Hunter: World,PS4,7.8,"Jan 26, 2018"
90,Into the Breach,PC,7.5,"Feb 27, 2018"
90,Dead Cells,Switch,8.5,"Aug 7, 2018"
90,Bayonetta + Bayonetta 2,Switch,8.7,"Feb 16, 2018"
89,Astro Bot: Rescue Mission,PS4,9,"Oct 2, 2018"
89,Dead Cells,PC,7.6,"Aug 7, 2018"
89,Owlboy,PS4,6.7,"Apr 10, 2018"
89,Okami HD,Switch,8.7,"Aug 9, 2018"
88,Forza Horizon 4,PC,7.6,"Sep 28, 2018"
88,The Banner Saga 3,XONE,7.8,"Jul 26, 2018"
88,Injustice 2: Legendary Edition,PS4,7.3,"Mar 27, 2018"
88,Call of Duty: Black Ops 4,XONE,4.7,"Oct 12, 2018"
88,Pillars of Eternity II: Deadfire,PC,7.7,"May 8, 2018"
88,Hyper Light Drifter,Switch,8,"Sep 6, 2018"
88,Monster Hunter: World,PC,5.4,"Aug 9, 2018"
88,Ikaruga,Switch,7.8,"May 29, 2018"
88,Celeste,PC,7.2,"Jan 25, 2018"
88,Assassin's Creed Odyssey,PC,5,"Oct 2, 2018"
96,Batman: Arkham City,PS3,8.7,"Oct 18, 2011"
88,Dead Cells,PS4,7.5,"Aug 7, 2018"
88,Hellblade: Senua's Sacrifice,XONE,7.2,"Apr 11, 2018"
87,Dragon Ball FighterZ,Switch,8.8,"Sep 28, 2018"
87,Subnautica,PC,8.3,"Jan 23, 2018"
87,Street Fighter V: Arcade Edition,PS4,7,"Jan 16, 2018"
87,Dragon Ball FighterZ,PS4,8.1,"Jan 26, 2018"
87,Assassin's Creed Odyssey,XONE,5.2,"Oct 2, 2018"
87,Marvel's Spider-Man,PS4,8.8,"Sep 7, 2018"
87,Velocity 2X,Switch,6.8,"Sep 20, 2018"
87,Owlboy,Switch,7.5,"Feb 13, 2018"
96,The Elder Scrolls V: Skyrim,X360,8.5,"Nov 11, 2011"
95,Portal 2,PC,9,"Apr 18, 2011"
95,Portal 2,X360,8.7,"Apr 19, 2011"
95,Portal 2,PS3,8.5,"Apr 19, 2011"
94,Batman: Arkham City,X360,8.7,"Oct 18, 2011"
94,The Elder Scrolls V: Skyrim,PC,8.2,"Nov 10, 2011"
94,The Legend of Zelda: Ocarina of Time 3D,3DS,9,"Jun 19, 2011"
94,Mass Effect 2,PS3,8.5,"Jan 17, 2011"
93,The Legend of Zelda: Skyward Sword,WII,8.1,"Nov 20, 2011"
92,The Elder Scrolls V: Skyrim,PS3,6.5,"Nov 11, 2011"
87,Iconoclasts,Switch,8.2,"Aug 2, 2018"
87,Sonic Mania Plus,PS4,7.9,"Jul 17, 2018"
87,Iconoclasts,PC,7.4,"Jan 23, 2018"
86,Thronebreaker: The Witcher Tales,PC,9,"Oct 23, 2018"
86,The Messenger,Switch,7.9,"Aug 30, 2018"
86,Crypt of the NecroDancer: Nintendo Switch Edition,Switch,7.5,"Feb 1, 2018"
86,Donkey Kong Country: Tropical Freeze,Switch,8.6,"May 4, 2018"
86,Shantae and the Pirate's Curse,Switch,7.8,"Mar 20, 2018"
86,Dragon Quest XI: Echoes of an Elusive Age,PS4,8.8,"Sep 4, 2018"
86,Unavowed,PC,8,"Aug 8, 2018"
93,Uncharted 4: A Thief's End,PS4,8.3,"May 10, 2016"
92,Uncharted 3: Drake's Deception,PS3,8.4,"Nov 1, 2011"
92,The ICO & Shadow of the Colossus Collection,PS3,8.6,"Sep 27, 2011"
92,Rayman Origins,WII,8.5,"Nov 15, 2011"
91,LittleBigPlanet 2,PS3,8.4,"Jan 18, 2011"
91,Forza Motorsport 4,X360,8.2,"Oct 11, 2011"
91,Batman: Arkham City,PC,8.7,"Nov 21, 2011"
91,Gears of War 3,X360,7.9,"Sep 20, 2011"
90,NBA 2K12,PS3,6.7,"Oct 4, 2011"
90,FIFA Soccer 12,PS3,7.2,"Sep 27, 2011"
90,FIFA Soccer 12,X360,6.8,"Sep 27, 2011"
86,Dragon Ball FighterZ,XONE,7.8,"Jan 26, 2018"
86,Yakuza 0,PC,8.2,"Aug 1, 2018"
86,Destiny 2: Forsaken,XONE,5.5,"Sep 4, 2018"
86,Keep Talking and Nobody Explodes,Switch,7.8,"Aug 16, 2018"
86,PlayerUnknown's Battlegrounds,XONE,5.6,"Sep 4, 2018"
86,Mini Metro,Switch,8.2,"Aug 30, 2018"
86,Dark Souls Remastered,XONE,5.8,"May 25, 2018"
85,Child of Light,Switch,8.6,"Oct 11, 2018"
85,Dark Souls Remastered,PS4,6.2,"May 25, 2018"
85,Night in the Woods,Switch,8.1,"Feb 1, 2018"
93,INSIDE,XONE,8.2,"Jun 29, 2016"
92,Out of the Park Baseball 17,PC,3.4,"Mar 22, 2016"
92,The Witcher 3: Wild Hunt - Blood and Wine,PC,9.2,"May 30, 2016"
91,Overwatch,PC,6.7,"May 23, 2016"
91,Overwatch,XONE,5.8,"May 23, 2016"
91,Forza Horizon 3,XONE,8,"Sep 23, 2016"
91,The Witcher 3: Wild Hunt - Blood and Wine,PS4,8.9,"May 30, 2016"
91,INSIDE,PS4,8.2,"Aug 23, 2016"
90,Overwatch,PS4,6.3,"May 23, 2016"
90,Stephen's Sausage Roll,PC,5.5,"Apr 17, 2016"
90,NBA 2K17,XONE,6,"Sep 16, 2016"
90,MLB 11: The Show,PS3,7.8,"Mar 8, 2011"
90,Dead Space 2,X360,8.6,"Jan 25, 2011"
90,Super Mario 3D Land,3DS,8.4,"Nov 13, 2011"
90,Deus Ex: Human Revolution,PC,8.5,"Aug 23, 2011"
90,Pushmo,3DS,8.3,"Dec 8, 2011"
90,Metal Gear Solid HD Collection,X360,8.7,"Nov 8, 2011"
90,LIMBO,PS3,7.8,"Jul 19, 2011"
90,Total War: Shogun 2,PC,8.4,"Mar 15, 2011"
90,NBA 2K12,X360,7.7,"Oct 4, 2011"
89,Dark Souls,X360,8.7,"Oct 4, 2011"
89,Deus Ex: Human Revolution,PS3,8.2,"Aug 23, 2011"
85,Guacamelee! 2,PC,7.4,"Aug 21, 2018"
85,Final Fantasy XV: Windows Edition,PC,7.7,"Mar 6, 2018"
85,CrossCode,PC,7.5,"Sep 20, 2018"
85,DJMax Respect,PS4,7.5,"Mar 6, 2018"
85,Dragon Ball FighterZ,PC,7.6,"Jan 26, 2018"
85,Batman: The Enemy Within - Episode 5: Same Stitch,PC,7.6,"Mar 26, 2018"
85,Yakuza Kiwami 2,PS4,8,"Aug 28, 2018"
85,Full Metal Furies,PC,7.4,"Jan 17, 2018"
85,Call of Duty: Black Ops 4,PS4,4.7,"Oct 12, 2018"
97,The Legend of Zelda: Breath of the Wild,Switch,8.5,"Mar 3, 2017"
90,Kentucky Route Zero - Act IV,PC,6.2,"Jul 20, 2016"
89,Dark Souls III,PC,8.5,"Apr 11, 2016"
89,Rez Infinite,PS4,7.6,"Oct 13, 2016"
89,Axiom Verge,WIIU,8.6,"Sep 1, 2016"
89,Titanfall 2,PS4,8.4,"Oct 28, 2016"
89,Dark Souls III,PS4,8.9,"Apr 12, 2016"
89,Stardew Valley,XONE,7.7,"Dec 14, 2016"
89,Battlefield 1,PS4,8,"Oct 18, 2016"
89,Stardew Valley,PC,8.6,"Feb 26, 2016"
88,Ori and the Blind Forest: Definitive Edition,PC,8.7,"Apr 27, 2016"
88,Ori and the Blind Forest: Definitive Edition,XONE,7.6,"Mar 11, 2016"
88,Dishonored 2,XONE,7.2,"Nov 10, 2016"
88,Rise of the Tomb Raider: 20 Year Celebration,PS4,8.1,"Oct 11, 2016"
89,L.A. Noire,PS3,7.8,"May 17, 2011"
89,FIFA Soccer 12,PC,7.1,"Sep 27, 2011"
89,Metal Gear Solid HD Collection,PS3,8.9,"Nov 8, 2011"
89,Battlefield 3,PC,7.6,"Oct 25, 2011"
89,Dead Space 2,PS3,8.4,"Jan 25, 2011"
89,Deus Ex: Human Revolution,X360,8.3,"Aug 23, 2011"
89,L.A. Noire,X360,7.9,"May 17, 2011"
89,Dark Souls,PS3,8.9,"Oct 4, 2011"
88,Call of Duty: Modern Warfare 3,X360,3.4,"Nov 8, 2011"
85,Valkyria Chronicles 4,PS4,7.9,"Sep 25, 2018"
85,West of Loathing,Switch,7.5,"May 31, 2018"
85,Darkest Dungeon,Switch,8.2,"Jan 18, 2018"
85,Moss,PS4,8.2,"Feb 27, 2018"
85,F1 2018,PS4,7.9,"Aug 24, 2018"
85,Radiant Historia: Perfect Chronology,3DS,8.5,"Feb 13, 2018"
85,Flat Heroes,Switch,7.9,"Aug 2, 2018"
84,Ni no Kuni II: Revenant Kingdom,PS4,7.9,"Mar 23, 2018"
84,Shantae: Half-Genie Hero - Ultimate Edition,Switch,7.8,"May 8, 2018"
84,The Banner Saga 3,Switch,8,"Jul 26, 2018"
84,Two Point Hospital,PC,7.6,"Aug 29, 2018"
84,428: Shibuya Scramble,PS4,7.9,"Sep 4, 2018"
97,Super Mario Odyssey,Switch,8.9,"Oct 27, 2017"
96,The Legend of Zelda: Breath of the Wild,WIIU,8.2,"Mar 3, 2017"
93,Divinity: Original Sin II,PC,8.4,"Sep 14, 2017"
93,Persona 5,PS4,9,"Apr 4, 2017"
92,What Remains of Edith Finch,XONE,7.4,"Jul 19, 2017"
92,Undertale,PS4,6.5,"Aug 15, 2017"
92,Okami HD,PC,7.7,"Dec 12, 2017"
92,Mario Kart 8 Deluxe,Switch,8.6,"Apr 28, 2017"
91,SteamWorld Heist: Ultimate Edition,Switch,8.4,"Dec 28, 2017"
91,Shovel Knight: Treasure Trove,Switch,8.2,"Mar 3, 2017"
90,Bayonetta,PC,8.2,"Apr 11, 2017"
88,NBA 2K17,PS4,6.3,"Sep 16, 2016"
88,XCOM 2,PC,7.2,"Feb 5, 2016"
88,Dishonored 2,PS4,7.9,"Nov 10, 2016"
88,Fire Emblem Fates: Special Edition,3DS,6.7,"Feb 19, 2016"
88,Fire Emblem Fates: Revelation,3DS,5.9,"Mar 10, 2016"
88,Sid Meier's Civilization VI,PC,7.1,"Oct 21, 2016"
88,Battlefield 1,PC,7.1,"Oct 21, 2016"
88,World of Warcraft: Legion,PC,7.3,"Aug 30, 2016"
88,Keep Talking and Nobody Explodes,PS4,6.6,"Oct 13, 2016"
88,Owlboy,PC,7.7,"Nov 1, 2016"
87,XCOM 2,PS4,7.3,"Sep 27, 2016"
87,The Witness,PS4,7.1,"Jan 26, 2016"
88,LIMBO,PC,8.1,"Aug 2, 2011"
88,Assassin's Creed: Brotherhood,PC,8.2,"Mar 22, 2011"
88,Call of Duty: Modern Warfare 3,PS3,3.2,"Nov 8, 2011"
88,Joe Danger: Special Edition,X360,7.7,"Dec 14, 2011"
88,The Witcher 2: Assassins of Kings,PC,8.5,"May 17, 2011"
87,Pokemon White Version,DS,7.7,"Mar 6, 2011"
87,DiRT 3,PS3,7,"May 24, 2011"
87,Tactics Ogre: Let Us Cling Together,PSP,8.8,"Feb 14, 2011"
87,DiRT 3,X360,7,"May 24, 2011"
84,Sprint Vector,PC,7.2,"Feb 8, 2018"
84,Toki Tori 2 +,Switch,7.6,"Feb 23, 2018"
84,Bayonetta,Switch,8.2,"Feb 16, 2018"
84,SoulCalibur VI,XONE,6,"Oct 19, 2018"
84,F1 2018,XONE,7.5,"Aug 24, 2018"
84,Total War: WARHAMMER II - Rise of the Tomb Kings,PC,7.2,"Jan 23, 2018"
84,Valkyria Chronicles 4,PC,7.8,"Sep 25, 2018"
84,Mega Man X Legacy Collection,Switch,8.5,"Jul 24, 2018"
84,Frostpunk,PC,8.5,"Apr 24, 2018"
84,SoulCalibur VI,PS4,7.4,"Oct 19, 2018"
89,F1 2017,PC,7.5,"Aug 24, 2017"
89,Final Fantasy XIV: Stormblood,PS4,8.5,"Jun 20, 2017"
89,Lone Echo,PC,7.6,"Jul 20, 2017"
89,Rez Infinite,PC,7.2,"Aug 9, 2017"
89,Horizon Zero Dawn,PS4,8.3,"Feb 28, 2017"
89,Injustice 2,XONE,8.2,"May 16, 2017"
89,What Remains of Edith Finch,PC,8.2,"Apr 25, 2017"
88,XCOM 2: War of the Chosen,PC,7.7,"Aug 29, 2017"
88,N++,XONE,5.2,"Oct 4, 2017"
88,What Remains of Edith Finch,PS4,8.1,"Apr 25, 2017"
88,Wolfenstein II: The New Colossus,XONE,6.2,"Oct 27, 2017"
88,NieR: Automata,PS4,8.9,"Mar 7, 2017"
87,DOOM,XONE,8.4,"May 13, 2016"
87,Battlefield 1,XONE,7.7,"Oct 18, 2016"
87,Dark Souls III,XONE,8.7,"Apr 12, 2016"
87,Pokemon Sun,3DS,8.3,"Nov 18, 2016"
87,Pokemon Moon,3DS,8.7,"Nov 18, 2016"
87,The Witness,PC,6.9,"Jan 26, 2016"
87,Fire Emblem Fates: Conquest,3DS,7.3,"Feb 19, 2016"
87,Rocket League,XONE,8.3,"Feb 17, 2016"
