id,game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed,comp_100,comp_all,comp_main,comp_plus,platform,developer
39,Red Dead Redemption,PS3,Action-Adventure|Open World,1,2010,2016,30,92,0,49.34,30.16,22.81,31.23,"PlayStation 3, Xbox 360, Xbox One",Rockstar San Diego
40,The Last of Us,PS3,Action-Adventure,0,2011,2016,30,92,0,22.32,16.31,15.25,17.43,PlayStation 3,Naughty Dog
41,Okami,PS3,Action-Adventure,1,2006,2016,30,94,0,1.1,0.68,0.65,0.8,"Amiga, Amstrad CPC, Apple II, Arcade, Atari 2600, Atari 7800, Atari ST, BBC Micro, Commodore 64, Intellivision, MSX, NEC PC-88, NES, PC, PlayStation 2, PlayStation 3, Wii, Xbox 360, ZX Spectrum",Capcom
43,Assassin's Creed II,PS3,Action-Adventure|Open World,1,2012,2015,35,93,1,15.98,10.66,7.96,11.25,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One",Ubisoft Sofia
44,Assassin's Creed III,PS3,Action-Adventure|Open World,1,2014,2015,35,93,1,15.98,10.66,7.96,11.25,"Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One",Ubisoft Sofia
45,Assassin's Creed IV: Black Flag,PS3,Action-Adventure,1,2013,2016,35,94,1,60.56,39.06,23.38,40.94,"Google Stadia, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Wii U, Xbox 360, Xbox One",Ubisoft Montreal
46,Assassin's Creed: Unity,PC,Action-Adventure|Open World,0,2014,2018,40,93,1,78.92,31.56,17.18,34.89,"Google Stadia, PC, PlayStation 4, Xbox One",Ubisoft Montreal
47,Assassin's Creed Origins,PS4,RPG|Open World,1,2017,2017,70,96,1,84.34,56.43,30.06,52.33,"Google Stadia, PC, PlayStation 4, Xbox One",Ubisoft Montreal
48,Assassin's Creed Odyssey,PC,RPG|Open World,1,2018,2018,100,97,1,27.8,23.78,14.83,22.43,"Google Stadia, PC, PlayStation 4, Xbox One",Ubisoft Quebec
49,Watch Dogs,PS3,Open World|Action-Adventure,1,2013,2015,30,85,0,61.51,28.06,19.44,33.35,"Google Stadia, PC, PlayStation 3, PlayStation 4, Wii U, Xbox 360, Xbox One",Ubisoft Montreal
50,Watch Dogs 2,PC,Open World|Action-Adventure,1,2016,2016,50,89,0,46.12,29.66,19.18,31.6,"Google Stadia, PC, PlayStation 4, Xbox One",Ubisoft Montreal
51,Sid Meier's Civilization III,PC,STR,1,2001,2001,15,88,0,0,0,0,0,PC,"BreakAway Games, Firaxis"
52,Sid Meier's Civilization V,PC,STR,1,2010,2014,150,97,1,0,45.05,28,62.1,PC,MicroProse
53,Sid Meier's Civilization: Beyond Earth,PC,STR,1,2014,2014,15,78,0,75.39,31.84,16.83,45.66,PC,Firaxis Games
54,Sid Meier's Civilization VI,PC,STR,1,2016,2016,300,100,1,0,45.05,28,62.1,PC,MicroProse
55,Command & Conquer,PC,STR,1,1996,1998,30,89,1,10.38,9.86,9.69,10.13,PC,Westwood Studios
56,Command & Conquer: Tiberian Sun,PC,STR,1,1999,1999,50,92,1,0,13.99,13.4,17.67,PC,Westwood
57,Command & Conquer 3: Tiberium Wars,PC,STR,1,2007,2007,60,92,1,36,24.47,23.32,25.74,"PC, Xbox 360","EA Los Angeles, TransGaming"
58,Command & Conquer: Red Alert,PC,STR,1,1996,1998,40,89,1,18.21,9.47,8.13,0,PC,Intelligent Games
59,Command & Conquer: Red Alert 2,PC,STR,1,2000,2001,60,90,1,34.25,18.8,14.95,22.4,PC,Westwood Pacific
61,Command & Conquer: Red Alert 3,PC,STR,1,2008,2018,10,75,1,36.97,12.05,9.97,19.47,PC,EA Los Angeles
62,Command & Conquer: Generals,PC,STR,1,2003,2005,15,77,1,0,0,0,0,PC,SWR Productions
63,Stronghold,PC,STR,1,2003,2003,10,73,1,0,12.3,12.3,0,PC,Stormfront Studios
64,Nox,PC,RPG|Hack&Clash,1,2008,2018,10,75,1,0,0,0,0,PC,Visual Outbreak
65,Diablo,PS1,RPG|Hack&Clash,1,1997,1998,40,92,1,28.87,16.66,13.72,17.43,"Emulated, PC, PlayStation","Blizzard North, Climax Group (Playstation)"
66,Diablo II,PC,RPG|Hack&Clash,1,2000,2005,25,89,1,142.68,36.6,18.52,37.8,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Blizzard Entertainment
67,Diablo III,PS3,RPG|Hack&Clash,1,2012,2015,35,93,1,142.68,36.6,18.52,37.8,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Blizzard Entertainment
68,StarCraft,PC,STR,1,1998,1998,150,92,1,0,23.92,0,23.92,PC,
69,StarCraft Brood War,PC,STR,1,1998,1998,20,92,0,30.84,23.36,20.21,25.43,PC,"Saffire, Blizzard Entertainment"
70,StarCraft II: Wings of Liberty,PC,STR,1,2010,2010,150,95,1,50.71,21.36,17.79,21.63,PC,Blizzard Entertainment
72,StarCraft II: Legacy of the Void,PC,STR,1,2015,2015,70,96,1,31.96,17.08,13.51,19.31,PC,Blizzard Entertainment
73,Warcraft II: Tides of Darkness,PC,STR,1,1995,1996,20,85,1,36.29,25.13,20.68,26.09,"PC, PlayStation",Blizzard Entertainment
74,Warcraft III: Reign of Chaos,PC,STR,1,2002,2002,100,95,1,33.76,25.36,21.58,27.55,PC,Blizzard Entertainment
75,Warcraft III: The Frozen Throne,PC,STR,1,2003,2003,30,93,1,37.21,25.06,18.03,28.85,PC,Blizzard Entertainment
78,Heroes of Might & Magic IV,PC,STR,1,2002,2002,45,94,1,24.34,21.1,0,18.25,"Nintendo Switch, PC, PlayStation 4","Dotemu, Capybara Games"
79,Heroes of Might & Magic V,PC,STR,0,2006,2008,25,89,1,0,18.89,17.37,21.65,PC,"Black Hole Entertainment, Limbic Entertainment, Virtuos"
81,Age of Empire II,PC,STR,0,2000,2003,30,88,1,27.67,9.79,8.04,10.71,PC,"Ensemble Studios (Original), Macsoft (Ported Game & Updates), Robot Entertainment (Updates)"
82,Life is Strange,PC,Narrative,1,2008,2018,10,79,1,24.9,23.14,20.7,23.15,"Google Stadia, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",Deck Nine
83,Worms,PC,STR|Shoot'em All,0,1995,1996,30,80,1,1.3,1.3,0,0,PC,For Kids
84,Worms 2,PC,STR|Shoot'em All,0,1997,1997,30,82,1,15,12.58,11.25,15,"Mobile, PC, PlayStation 3, Xbox 360",Team 17
85,Worms Armageddon,PC,STR|Shoot'em All,0,1999,2000,40,87,1,15,12.58,11.25,15,"Mobile, PC, PlayStation 3, Xbox 360",Team 17
87,Theme Hospital,PC,STR,0,1997,2000,10,80,1,39.09,30.35,24.49,29.95,"PC, PlayStation",Bullfrog Productions
88,Dungeon Keeper,PC,STR,0,1997,2000,10,80,1,21.09,18.44,18.11,18.21,PC,Bullfrog Productions
89,The Sims,PC,STR,1,2000,2000,50,90,1,0,4,0,4,PC,Electronic Arts
90,The Sims 2,PC,STR,1,2000,2005,30,88,0,0,39,0,39,PC,Maxis
91,Baldur's Gate,PC,Action-Adventure|RPG,1,1998,2000,40,90,0,133.69,86.39,0,72.98,PC,
92,Baldur's Gate II: Shadows of Amn,PC,Action-Adventure|RPG,1,2000,2001,50,92,0,140.43,90.89,67.7,88.1,PC,BioWare
93,Drakan: Order of the Flame,PC,Action-Adventure,1,1999,2000,25,89,0,14,12.1,11.99,12.69,PC,Surreal Software
94,Heart of Darkness,PC,Action-Adventure|Platformer,1,1998,2001,15,77,0,0,17.5,0,17.5,PC,BigWednesday
95,Heroes of the Storm,PC,MOBA,0,2016,2016,90,93,1,58.33,33.55,24,29.36,PC,Blizzard Entertainment
96,Grim Fandango,PC,Point&Click,1,2008,2018,20,80,1,12.06,11.27,10.87,11.55,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",LucasArts
97,The Curse of Monkey Island,PC,Point&Click,1,1997,2018,10,75,1,9.95,8.47,7.86,9.41,"Mac, PC",LucasArts
98,Escape From Monkey Island,PC,Point&Click,1,2004,2004,30,85,1,12.33,10.59,10.4,10.72,"Mac, PC, PlayStation 2",LucasArts
100,Myst,PC,Point&Click,1,1993,1993,25,86,1,82.86,56.87,42.26,57.66,"Nintendo Switch, PC, PlayStation 4",Koei Tecmo Games
101,Versailles,PC,Point&Click,0,1996,1996,10,73,1,0,3.47,3.47,0,PC,Cryo Interactive
102,Goblins,PC,Point&Click,0,1991,1993,10,73,1,0,0,0,0,PC,Lost Goblin
104,Oddworld: Abe's Oddysee,PC,Action-Adventure|Platformer,1,1997,1999,25,85,1,10.86,8.65,7.38,9.18,"Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox One",Just Add Water
105,Oddworld: Abe's Exoddus,PC,Action-Adventure|Platformer,1,1998,2000,10,86,1,15.46,15.15,14.72,15.06,"PC, PlayStation","Oddworld Inhabitants, Digital Dialect (PC port)"
106,Lemmings,PC,STR,0,1991,1993,15,72,1,0,0,0,0,"Amiga, Atari ST, Game Boy Color, PC",Presage Software
108,SimCity 2000,PC,STR,0,1994,1995,15,70,0,32.5,30.83,0,30,PC,Maxis Software
109,Caesar II,PC,STR,0,1995,1998,10,80,1,82.5,47.78,36.69,55.1,PC,Impressions Games
110,Pharaoh,PC,STR,0,1999,2001,20,86,1,0,0,0,0,PC,4 Fun Studio
111,Carmageddon,PC,Racing|Beat'em All,0,1997,1999,20,86,1,0,18.96,18.1,21.58,PC,Stainless Games
112,Carmageddon II: Carpocalypse Now,PC,Racing|Beat'em All,0,1998,2000,10,86,1,28.54,15.25,12.39,14.9,"Game Boy Color, PC, PlayStation",Stainless Games
113,RollerCoaster Tycoon,PC,STR,0,1999,2000,15,70,0,0,0,0,0,PC,Nvizzio Creations
114,Beyond Good & Evil,PC,Action-Adventure|Platformer,0,2003,2016,5,62,0,13.13,11.87,10.74,12.17,"Nintendo GameCube, PC, PlayStation 2, PlayStation 3, Xbox, Xbox 360",Ubisoft
115,Star Wars: Galactic Battlegrounds,PC,STR,1,2001,2001,40,90,0,45.64,43.68,38.96,42.27,PC,Ensemble Studios
116,Star Wars: Shadows of the Empire,PC,Action-Adventure|Hack&Clash,1,1996,2002,20,85,0,12.58,6.5,5.14,7.71,"Nintendo 64, PC","Nintendo (N64), LucasArts (PC)"
117,Star Wars Jedi Knight II: Jedi Outcast,PC,Action-Adventure|Hack&Clash,1,2002,2003,30,98,1,17.92,14.41,12.54,16.46,"PC, Nintendo GameCube, Nintendo Switch, PlayStation 4, Xbox","Raven Software, Vicarious Visions"
118,Star Wars Jedi Knight: Jedi Academy,PC,Action-Adventure|Hack&Clash,1,2003,2003,30,97,1,13.94,10.56,10.07,11.31,"PC, Nintendo Switch, PlayStation 4, Xbox, Xbox One","Raven Software, Vicarious Visions (Xbox)"
119,Star Wars: The Old Republic,PC,Action-Adventure|RPG,1,2011,2012,50,92,1,0,0,0,0,"PC, PlayStation 5",Aspyr
120,Star Wars: Knights of The Old Republic,PC,Action-Adventure|RPG,1,2003,2012,25,91,0,0,0,0,0,"PC, PlayStation 5",Aspyr
121,Star Wars Episode I Racer,PC,Racing,1,2001,2001,30,75,0,7.33,5.66,5.17,5.57,"Dreamcast, Game Boy Color, Nintendo 64, Nintendo Switch, PC, PlayStation, PlayStation 4, Xbox One",LucasArts
122,Star Wars: StarFighter,PC,Space Shooter,1,2001,2001,20,80,0,7.87,4.71,4.3,5.96,"PC, PlayStation 2, Xbox",LucasArts
123,Star Wars: Jedi StarFighter,PS2,Space Shooter,1,2001,2001,20,80,0,9.09,6.39,5.66,7.36,"PlayStation 2, PlayStation 4, Xbox, Xbox One",LucasArts
125,Star Wars Battlefront II,PS4,FPS|Space Shooter,1,2017,2017,50,90,1,59.63,8.63,6.22,9.51,"PC, PlayStation 4, Xbox One",EA DICE
126,Star Wars: Bounty Hunter,PS2,Action-Adventure,1,2002,2002,30,70,1,12.58,8.44,7.27,10.4,"Nintendo GameCube, PlayStation 2, PlayStation 4",LucasArts
127,Star Wars: The Force Unleashed,PS3,Hack&Clash,1,2008,2016,15,75,0,11.83,5.84,5.21,7.22,"Nintendo DS, PC, PlayStation 3, PlayStation Portable, Wii, Xbox 360, Xbox One",LucasArts
128,Star Wars: The Force Unleashed II,PS3,Hack&Clash,1,2008,2016,15,75,0,11.83,5.84,5.21,7.22,"Nintendo DS, PC, PlayStation 3, PlayStation Portable, Wii, Xbox 360, Xbox One",LucasArts
129,LEGO Star Wars: The Complete Saga,PS3,Hack&Clash,1,2007,2016,10,75,0,40.55,24.92,13.32,23.35,"Mobile, Nintendo DS, PC, PlayStation 3, Wii, Xbox 360",Traveller's Tales
131,Star Wars: Rogue Squadron,PC,Gunfight,1,1998,2003,20,93,1,11.55,9.14,8.26,9.86,"Nintendo 64, PC","Factor 5, LucasArts"
132,Little Big Adventure,PC,Action-Adventure|Platformer,1,1994,1999,20,85,1,7.72,5.75,4.62,5.76,"PC, PlayStation 2",Magenta Software
133,Little Big Adventure 2,PC,Action-Adventure|Platformer,1,1997,2000,50,97,1,17.51,17.25,15.58,17.38,PC,Adeline Software International
134,Tomb Raider,PS1,Action|Platformer,1,1997,1997,15,85,1,5.16,4.57,3.87,5.09,"PC, PlayStation",Core Design
135,Tomb Raider II,PC,Action|Platformer,1,1997,1998,10,86,1,6.95,5.53,3.95,5.42,PC,Core Design
136,Tomb Raider III: Adventures of Lara Croft,PC,Action|Platformer,1,1998,1998,10,86,1,24.64,21.54,20.14,22.33,"PC, PlayStation",Core Design
138,Rise of the Tomb Raider,PS4,Action|Platformer,0,2015,2015,10,75,1,39.14,22.95,14.58,23.56,"Google Stadia, PC, PlayStation 4, Xbox One","Crystal Dynamics, Eidos-Montréal, Feral Interactive"
139,Crash Bandicoot,PS1,Action|Platformer,0,1996,1996,10,79,1,10.99,9.72,7.9,10.59,"Nintendo GameCube, PlayStation, PlayStation 2, PlayStation Portable, Xbox",Radical Entertainment
140,Crash Nitro Kart,PS2,Racing,0,2003,2003,15,72,1,10.95,7.28,6.12,7.48,"Game Boy Advance, N-Gage, Nintendo GameCube, PlayStation, PlayStation 2, Xbox",Vicarious Visions
141,Metal Gear Solid,PS1,Action|Infiltration,0,1998,2016,5,80,0,18.93,11.31,8.82,13.05,"PC, PlayStation",Digital Dialect
142,Splinter Cell,PS2,Action|Infiltration,0,2002,2002,15,82,0,14.82,11.19,10.32,12.58,"Game Boy Advance, Nintendo GameCube, PC, PlayStation 2, PlayStation 3, Xbox, Xbox 360",Ubisoft Shanghai
143,WipeOut 2097,PS1,Racing,0,1996,1996,15,82,1,5.78,3.69,2,4,"Mac, PC, PlayStation, Sega Saturn",Psygnosis
144,Driver,PC,Racing,0,1999,2000,15,72,1,0,0,0,0,PC,Casualgames.nu
145,Chrono Trigger,PS1,JRPG,0,1995,2015,5,75,0,42.27,26.31,23.15,26.48,"Mobile, Nintendo DS, PC, PlayStation, Super Nintendo",Square
146,Fighting Force,PS1,Beat'em All,1,1997,1997,20,79,1,0,6.06,6.06,0,"Dreamcast, PlayStation",Core Design
147,Tekken,PS1,Versus Fighting,0,1995,1997,20,79,1,12.93,5.25,1.6,10.56,"Arcade, PlayStation, PlayStation 2, PlayStation 3",Namco
148,Resident Evil 2,PS1,Survival horror,0,1998,1998,10,80,1,15.45,7.6,6.14,9.25,"Dreamcast, Nintendo 64, Nintendo GameCube, PC, PlayStation, Tiger Handheld",Capcom
149,Sonic the Hedgehog,Megadrive,Platformer,1,1991,1996,40,85,1,1.03,0.87,0.84,0,"PC, Sega Mega Drive/Genesis",ExecByte
150,Sonic the Hedgehog 2,Megadrive,Platformer,1,1992,1996,50,88,1,1.94,1.64,1.52,1.83,Sega Mega Drive/Genesis,Sonic Team
151,Sonic the Hedgehog 3,Megadrive,Platformer,1,1994,1996,40,88,1,7.31,4.83,4.24,4.71,"PC, Sega Mega Drive/Genesis","Sonic Team, Sega Technical Institute"
152,Sonic & Knuckles,Megadrive,Platformer,1,1994,1996,20,80,1,7.31,4.83,4.24,4.71,"PC, Sega Mega Drive/Genesis","Sonic Team, Sega Technical Institute"
153,Sonic 3 & Knuckles,Megadrive,Platformer,1,1994,1996,60,94,1,7.31,4.83,4.24,4.71,"PC, Sega Mega Drive/Genesis","Sonic Team, Sega Technical Institute"
155,Streets of Rage 3,Megadrive,Beat'em All,1,1992,1996,15,70,0,2.44,1.78,1.66,2.23,"Nintendo 3DS, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis, Wii, Xbox 360, Xbox One","Sega AM7, MNM Software"
156,Golden Axe,Megadrive,Beat'em All,0,1989,1993,15,70,0,4.17,1.69,1.58,1.88,"Arcade, Emulated, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Sega Mega Drive/Genesis, Xbox 360",Sega
157,Mighty Morphin Power Rangers,Megadrive,Beat'em All,0,1994,1994,15,60,1,1.25,1.03,1.03,1.11,"Game Boy, Sega Game Gear, Sega Mega Drive/Genesis, Super Nintendo",Banpresto
159,Sonic Pinball,Megadrive,Platformer,1,1996,1996,30,79,1,3.07,2.58,2.48,2.95,"Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis","Polygames, Sega Technical Institute, Sega interActive"
160,Jungle Strike,Megadrive,Action-Adventure|Beat'em All,0,1993,1996,30,79,0,8.48,7.62,6.42,7.56,"Amiga, Amiga CD32, Game Boy, PC, Sega Game Gear, Sega Mega Drive/Genesis, Super Nintendo",Electronic Arts
161,EarthWorm Jim,Megadrive,Action-Adventure|Platformer,0,1994,1995,15,78,1,4.5,3.24,2.95,3.49,"Game Boy Advance, Mac, PC, PlayStation, Sega Mega Drive/Genesis, Sega Saturn, Super Nintendo","Shiny Entertainment, Screaming Pink"
162,Aladdin,Megadrive,Action-Adventure|Platformer,1,1993,1994,25,89,1,3.08,2.04,1.79,2.44,"Amiga, Game Boy, Game Boy Advance, Game Boy Color, Mac, NES, Nintendo Switch, PC, PlayStation 4, Sega Mega Drive/Genesis, Super Nintendo, Xbox One","Virgin Games USA, Disney Software"
163,Disney's The Lion King,Megadrive,Action-Adventure|Platformer,0,1994,1994,15,80,1,2.86,2.19,2.15,2.53,"Game Boy, Nintendo Switch, PC, PlayStation 4, Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis, Super Nintendo, Xbox One","Westwood Studios, Virgin Interactive, Dark Technologies"
164,Dr Robotnik,Megadrive,STR,1,1993,1993,30,89,1,4.73,2.16,1.89,4.1,"Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis","Compile, Sega Technical Institute"
166,Tintin in Tibet,Megadrive,Platformer,0,1995,1996,10,71,1,6.25,4.33,3.8,0,"Game Boy, Game Boy Color, Sega Game Gear, Sega Mega Drive/Genesis, Super Nintendo",Infogrames
167,Tales of Symphonia,GameCube,JRPG,1,2003,2008,30,85,0,194.02,60.31,46.76,63.84,"Nintendo GameCube, Nintendo Switch, PC, PlayStation 2, PlayStation 3, PlayStation 4, Xbox One",Namco Tales Studio
168,Ristar,Megadrive,Action-Adventure|Platformer,0,1995,1996,20,80,0,3.79,2.7,2.59,3.13,"Mobile, PC, Sega Game Gear, Sega Mega Drive/Genesis",Sonic Team
169,AAAHH!!! Real Monsters,Megadrive,Action-Adventure|Platformer,0,1995,1996,15,68,0,8,3.34,2.61,0,"Sega Mega Drive/Genesis, Super Nintendo",Realtime Associates
170,Jurassic Park,Megadrive,Action-Adventure|Platformer,0,1994,1996,5,62,1,4.5,2.53,2.32,0,Sega Mega Drive/Genesis,BlueSky Software
171,The Lost World: Jurassic Park,PS1,Action-Adventure|Platformer,0,1995,1996,5,62,1,18.77,10.29,8,9.52,"PlayStation, Sega Saturn",Dreamworks Interactive
172,M.U.S.H.A,Megadrive,Gunfight|Space Shooter,0,1990,1995,10,65,1,8,1.35,1.27,0,Sega Mega Drive/Genesis,Compile
174,Dragon Ball Z,Megadrive,Versus Fighting,0,1994,1996,10,68,1,0,4.47,4.47,0,Sega Mega Drive/Genesis,Bandai
175,Mortal Kombat,Megadrive,Versus Fighting,0,1992,1994,10,67,1,24.46,3.8,1.88,9.11,"Arcade, Game Boy, PC, PlayStation, Sega Game Gear, Sega Master System, Sega Mega Drive/Genesis, Super Nintendo, Tiger Handheld",Various
176,SSX,PS2,Sport,0,2000,2001,10,88,1,0,20.07,0,20.07,"Nintendo GameCube, PlayStation 2, PlayStation Portable, Xbox","EA Canada, EA Montreal"
177,SSX Tricky,PS2,Sport,1,2001,2002,30,92,1,43.83,15.99,11.33,21.35,"Game Boy Advance, Nintendo GameCube, PlayStation 2, Xbox",EA Canada
178,SSX 3,PS2,Sport,1,2003,2003,50,96,1,51.26,23.78,16.69,24.89,"Game Boy Advance, Gizmondo, Nintendo GameCube, PlayStation 2, Xbox",EA Canada
179,SSX On Tour,PS2,Sport,1,2005,2005,50,95,1,0,20.07,0,20.07,"Nintendo GameCube, PlayStation 2, PlayStation Portable, Xbox","EA Canada, EA Montreal"
180,The Lord of the Rings: The Two Towers,PS2,Action-Adventure|Beat'em All,1,2002,2002,30,90,1,13.54,7.46,6.02,8.5,"Game Boy Advance, Nintendo GameCube, PlayStation 2, Xbox","Stormfront Studios, Hypnos Entertainment"
181,The Lord of the Rings: The Return of the King,PS2,Action-Adventure|Beat'em All,1,2003,2003,35,90,1,20.02,11.02,8.59,13.18,"Game Boy Advance, Nintendo GameCube, PC, PlayStation 2, Xbox",EA Redwood Shores
